Type,Classification,Species,Phenology,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,
Plant,Plant,"Knautia arvensis (Bluebuttons, Field Scabious)",First observation,6/3,-,-,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Least flycatcher,First observation,-,-,-,-,-,-,-,-,-,5/20,5/27,-,-,
Plant,Plant,Leek,First observation,4/18,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Lilac,Buds breaking,3/31,-,-,-,-,-,-,-,-,-,-,3/29,-,
Plant,Plant,Lilac,Blooming,5/13,5/12,-,-,-,-,-,-,-,-,-,4/6,-,
Plant,Plant,Lilac,Leafing out,4/3,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Lilly of the valley,Blooming,-,-,-,-,-,-,-,-,-,-,-,5/5,-,
Plant,Plant,Little Chickweed (Common Chickweed - Stellaria media),First observation,5/13,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Long spurred violet,First observation,4/30,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Magnolia soulangeana,First observation,4/15,-,-,-,-,-,-,-,-,-,-,-,-,
Plant,Plant,Magnolia stellata,First observation,-,-,-,-,-,-,-,-,-,-,-,-,4/20,
Animal,Bird,Magnolia warbler,First observation,-,-,-,-,-,-,-,-,-,5/14,5/12,-,-,
Animal,Bird,Mallards,First observation,3/24,3/24,3/20,-,-,-,3/30,-,-,-,-,-,-,
Plant,Plant,Marsh marigold,First observation,-,4/29,5/4,5/1,4/25,-,-,-,5/1,-,-,-,4/30,
Plant,Plant,Marsh marigold,Blooming,4/21,-,-,-,-,-,-,-,-,-,-,4/12,-,
Animal,Bird,Meadowlark,First observation,-,-,-,-,-,-,-,-,-,-,4/13,-,4/3,
Animal,Insect,Midges,First observation,-,-,-,4/17,-,-,-,4/19,-,-,-,-,-,
Animal,Bird,Mockingbird,First observation,-,-,-,-,-,-,-,-,4/27,-,-,-,-,
Animal,Bird,Mossie (Cape sparrow),First observation,-,-,-,-,-,-,4/14,-,-,-,-,-,-,
Animal,Insect,Mourning Cloak,First observation,-,-,-,-,-,-,-,-,-,-,4/15,-,-,
Animal,Rodent,Muskrat,First observation,-,5/20,5/3,-,3/17,-,-,-,-,-,3/5,-,-,
Animal,Salamander,Newt ,First observation,-,-,-,-,3/10,-,4/18,-,-,-,-,-,-,
Animal,Bird,Northern flicker,First observation,-,-,-,-,-,-,-,-,-,-,-,4/1,-,
Animal,Bird,Northern parula warbler,First observation,-,-,-,-,-,-,-,-,-,5/10,-,-,-,
Animal,Bird,Nuthatch,First observation,-,-,3/29,-,-,-,-,-,-,-,-,-,-,
Animal,Bird,Osprey,First observation,-,-,-,-,-,4/20,-,-,-,4/20,-,-,-,
Animal,Bird,Ovenbird,First observation,-,-,-,-,-,-,-,-,-,-,5/4,-,-,
Animal,Reptile,Painted turtle,First observation,-,-,-,-,-,-,4/18,-,-,-,5/8,-,-,
